name,operatingTime,popularity,releases,cbo,dit,lcom_as,loc
mapdb,10,4566,0,2,106,0,3524446
springboot-guide,4,4562,0,2,106,0,3527042
gnirehtet,5,4557,11,2,106,0,3535057
PLDroidPlayer,7,4555,42,2,106,0,3545228
PageIndicatorView,6,4550,14,2,106,0,3551922
bottomsheet,7,4542,10,2,106,0,3556329
api-samples,9,4540,0,2,106,0,3561275
android-crop,8,4539,6,2,106,0,3564369
camel,13,4527,0,2,446,0,6488349
Luyten,9,4524,17,1,446,0,6500885
Douya,6,4524,11,1,446,0,6580237
NineOldAndroids,11,4512,0,1,446,0,6593239
orientdb,10,4504,191,1,446,0,7538387
lamp-cloud,4,4489,0,1,446,0,7554910
gpmall,3,4469,0,1,446,0,7570636
bilibili-android-client,6,4463,1,1,446,0,7627778
cglib,8,4461,15,1,446,0,7658971
reactive-streams-jvm,8,4456,0,1,446,0,7685965
hive,13,4453,0,1,446,0,10939535
dexposed,7,4449,0,1,446,0,10944020
quasar,9,4446,18,1,446,0,11039625
FirebaseUI-Android,7,4437,64,1,446,0,11064365
SmoothProgressBar,9,4436,9,1,446,0,11068260
android-times-square,9,4435,0,1,446,0,11072503
AntennaPod,10,4428,47,1,446,0,11161804
CameraView,5,4425,42,1,446,0,11201042
views-widgets-samples,3,4418,0,1,446,0,11213936
bitcoinj,9,4413,1,1,446,0,11330731
DependencyCheck,10,4410,35,1,446,0,11402372
SpringBootVulExploit,2,4408,0,1,446,0,11402848
Spring-Boot-In-Action,3,4406,0,1,446,0,11407741
android-mvp-architecture,5,4385,0,1,446,0,11414965
roncoo-pay,6,4369,0,1,446,0,11452874
javaparser,11,4367,34,1,446,0,11664312
shopping-management-system,7,4365,0,1,446,0,11673997
spring-boot-projects,5,4356,0,1,446,0,11679094
JGrowing,3,4353,0,1,446,0,11679694
